,nodes,edges,pos
35,35,"[2749, 2270, 2423, 90, 2698, 1402, 584, 1154, 396, 2666, 2192, 4042, 67, 2170, 2549, 2847, 2985, 3011, 3587, 3909, 4767]","[0.7503831733108103, 0.041396869561727945]"
36,36,"[3993, 2726, 4779]","[0.5922045317217608, 0.9701413981393354]"
37,37,"[4523, 2367, 3458, 4827, 736, 4878, 570, 1287, 2308]","[0.03836267829112916, 0.4156229446776294]"
38,38,"[4286, 478, 4479, 1578, 3722, 513, 591, 2019, 3249, 100, 143, 349, 617, 1430, 1489, 1613, 1956, 1969, 3391, 3704, 4376]","[0.17953979416854404, 0.6792966361081769]"
39,39,"[4424, 4722, 3097, 1842, 1943, 3631, 3187, 319, 1303, 1554, 2480, 3083, 3490]","[0.34570611172656607, 0.9585326600330517]"
40,40,"[1431, 2142, 2151, 1047, 3177, 4075, 3075, 3113, 912, 1465, 1658, 2419, 2726]","[0.6260532622518041, 0.9498316766382638]"
41,41,"[2615, 182, 1332, 2618, 2799, 1669, 2344, 2550, 3375]","[0.03891232111376408, 0.3682835668487259]"
42,42,"[2242, 427, 1722, 3205, 828, 248, 1696, 991, 986, 3417, 549, 1294, 1337, 1514, 1697, 3009]","[0.4439677565233694, 0.669750027409176]"
43,43,"[3421, 2837]","[0.7114206367088587, 0.010752477890231371]"
44,44,"[2011, 1060, 4471, 3079, 1826, 3546, 466, 4015, 208, 2714, 2786, 3236]","[0.2258699752437675, 0.5606291059463167]"
45,45,"[14, 3725, 4724, 4241, 1916, 1098, 4832, 2450, 222, 239, 927, 1170, 1489, 1579, 2340, 2380, 2897]","[0.139630549184387, 0.6385629685825323]"
46,46,"[4538, 4788, 48, 3429, 1027, 2048, 3476, 3921, 4261]","[0.40473943790425804, 0.5345572555353358]"
47,47,"[3773, 1794, 782, 3054, 424, 1585, 1143, 1117, 1687, 3622, 922, 1115, 2438, 3237, 3434, 3559]","[0.1464703499409934, 0.5555811191142973]"
48,48,"[46, 3429, 4788, 4538, 2048, 1228, 3921, 4261, 4877, 4897]","[0.4119749001936045, 0.5208039937753546]"
49,49,"[1737, 1087, 3196, 239, 259, 518, 1839, 1972, 2386, 3885]","[0.09933219957388262, 0.6915027255906432]"
50,50,"[2777, 475, 138, 1329, 1547, 3154]","[0.642518384778614, 0.7720685707603655]"
51,51,"[3800, 3957, 3484, 2368, 433, 637, 2324, 1847, 3021, 3572, 3669, 4454, 4963]","[0.9617288311745708, 0.20126540726589515]"
52,52,"[4868, 150, 1377]","[0.04193862466251963, 0.8400626785929594]"
53,53,"[2751, 4872, 4454, 2527, 3169, 3572, 316, 433, 1299, 3827]","[0.9219335549746988, 0.19627381991470683]"
54,54,"[534, 4957, 3314, 2679, 3141, 3956, 1960, 535, 837, 1145, 2663, 3831]","[0.13334633062848134, 0.2503375737911321]"
55,55,"[3052, 4856, 2456, 567, 4487, 1663, 4770, 243, 1655, 2852, 2774, 464, 849, 1013, 1608, 1902, 2815, 3721, 4803, 4959]","[0.09903026358965494, 0.5852100845663712]"
56,56,"[775, 600, 2553, 1834, 3731, 1255, 439, 4544, 4037, 2826, 18, 663, 1364, 1484, 1673, 1759, 2044, 2576, 3968]","[0.4054816970622557, 0.05143566094254148]"
57,57,"[3602, 3013, 3745, 2822, 2144, 1196, 2564, 2498, 764, 4506, 3651, 212, 265, 650, 1295, 1348, 1721, 1824, 3092, 3965, 4398]","[0.45882896126413775, 0.3114567077463303]"
58,58,"[3093, 1490, 889, 805, 838, 1272, 1951, 4213, 4244]","[0.48745675753518936, 0.6064309227801662]"
59,59,"[3256, 3045, 1159, 2190, 730, 3025, 1503, 254, 669, 1313, 1350, 1390, 1498, 1771, 2863, 2945, 3360, 4491]","[0.9176761458460837, 0.040648064272928]"
60,60,"[4261, 4897, 3619, 313, 2048, 2203, 2458, 4788, 4877]","[0.4500672330492044, 0.5368173391014129]"
61,61,"[2, 4350, 1038, 3780, 1493, 4110, 1439, 2278, 1004, 2111, 2759, 3594, 3794]","[0.6498644860446381, 0.6497630579366567]"
62,62,"[2373, 3799, 3044, 1042, 4735, 2403, 2486, 2795]","[0.0775729860579959, 0.9983509722685837]"
63,63,"[3438, 285, 4141, 1037, 3369, 834, 1549, 2731, 2888]","[0.029271948607573317, 0.5382176746632933]"
64,64,"[4713, 1247, 2594, 425, 355, 3250, 4814, 1071, 3422, 597, 930, 2468, 2807, 3180, 3214, 3280, 3416, 3494, 4088, 4736]","[0.3957688538702602, 0.4707287470588317]"
65,65,"[1972, 4786, 2612, 1349, 4196, 2249, 210, 1039, 2473, 3196, 3970, 4061, 4276, 4739]","[0.0762393140234583, 0.6651326794857497]"
66,66,"[3010, 2886, 4052, 4438]","[0.87300017263716, 0.8458240397591528]"
67,67,"[2847, 2549, 3011, 3587, 584, 2192, 35, 90, 1765, 2666, 2985, 4042]","[0.781383344710473, 0.035946501961233945]"
68,68,"[4137, 1339, 4309, 4578]","[0.7467187262966324, 0.12024413416720192]"
69,69,"[1537, 3548, 3664, 1074, 394, 924, 4132, 4521, 4575, 4930]","[0.44705787088713755, 0.8448376145714018]"
70,70,"[4721, 2134, 3264, 3123, 770, 1542, 96, 896, 1591, 2161, 3127, 3857, 3894, 4134]","[0.02595076697024634, 0.6828341953393093]"
71,71,"[2667, 3509, 855, 4784, 1725, 4895, 815, 2004, 183, 1389, 2819, 3293, 4183, 4715, 4920]","[0.8590017297721286, 0.21699366657713492]"
72,72,"[450, 4698, 345, 1124, 275, 2209, 1252, 1490, 2106, 2461, 4099, 4791]","[0.4826801960251932, 0.5709364908865198]"
73,73,"[3155, 2228, 1595, 4516, 415, 2787, 3790, 4300]","[0.9253631408745944, 0.25193583471160674]"
74,74,"[619, 2860, 4921, 4703, 4884, 1377, 150, 1975, 2306, 3302, 3317, 3850, 4474]","[0.07042489983063482, 0.8118085648066381]"
75,75,"[1018, 4510, 1353, 4658, 2424, 4426, 3642, 1062, 3094, 4178, 4594]","[0.2823105035205461, 0.9952408985547666]"
76,76,"[2211, 4870, 871, 3219, 4743, 416, 707, 1975, 2223, 2334, 3317, 4492]","[0.12608060966848011, 0.7983191063415941]"
77,77,"[3974, 382, 2790, 3333, 2622, 4828, 1355, 225, 3540, 3590]","[0.6197881845736649, 0.5160924951571478]"
78,78,"[1136, 2126, 3624, 4305, 137, 3930, 1670, 2946, 2734, 977, 1202, 2644, 3766, 3803, 3991, 4836]","[0.41471595046029675, 0.12528610308641197]"
79,79,"[3600, 2109, 3483, 99, 1743, 3829, 3945, 4265]","[0.29500284599423443, 0.6838744605708125]"
80,80,"[1934, 4541, 4729, 1442, 685, 893, 2366, 3067, 3697, 3934]","[0.6744322607825098, 0.10890048365687954]"
81,81,"[1066, 2972, 1116, 151, 2039, 3609, 3396, 4972, 3820, 430, 3672, 4701, 441, 1307, 2402, 2536, 3493, 3984, 4217, 4360, 4566, 4587]","[0.18801954978419277, 0.03138975758548512]"
82,82,"[4302, 2372, 2457, 1779, 2395, 2681, 522, 722, 1311, 1633, 2918, 3667, 4250]","[0.7637423102549996, 0.6251437709139176]"
83,83,"[2975, 3489, 1465, 560, 2658, 912, 812, 2142, 2151, 2750, 3113, 3177, 3650]","[0.6506940256164203, 0.9481837514730779]"
84,84,"[833, 2243, 4604, 4345, 4552, 338, 4164, 4213, 4227]","[0.46036796091447685, 0.6152039566711718]"
85,85,"[4198, 173, 4781, 302, 241, 544, 1429, 1656, 3488]","[0.20742654840615415, 0.4552768356854183]"
86,86,"[1340, 4932, 1470, 979]","[0.40323053264226516, 0.7737005945820374]"
87,87,"[2547, 4000, 3151]","[0.4480762403126659, 0.7513626891685989]"
88,88,"[1410, 3883, 3185, 3291, 3331, 1613, 159, 1881, 3246, 3722, 4049, 4479]","[0.21113527401694943, 0.6822489894933083]"
89,89,"[2793, 1279, 361, 4533, 4642, 4441, 671, 1235, 1559, 1811, 2043, 3175, 3260, 3776]","[0.388351115042199, 0.6429490733822238]"
90,90,"[35, 2192, 4042, 2666, 584, 1402, 3587, 3011, 67, 396, 1154, 2270, 2423, 2549, 2698, 2749, 2847, 2985, 3909, 4767]","[0.760772015245264, 0.03846387455071032]"
91,91,"[3377, 1404, 797, 7, 270, 1511, 2590, 2910, 4365]","[0.27494370645911537, 0.2891344108002425]"
92,92,"[1512, 1562, 4476, 1231, 3158, 2352, 4708, 525, 556, 716, 1122, 1735, 2091, 2195, 2796, 3363]","[0.8292425132192014, 0.7315063578856927]"
93,93,"[3870, 276, 998, 2364, 3324, 4509, 3178, 3785, 3067, 893, 2607, 3468, 4541, 4729]","[0.6402769361741782, 0.09372399542487886]"
94,94,"[3030, 1014, 4528, 3301, 2585, 2250, 4063, 767, 3806, 1793, 3736, 216, 367, 1646, 1659, 3186, 3630, 3818, 3899, 4572, 4900]","[0.3382913744104089, 0.8868166725099992]"
95,95,"[1822, 167, 3388, 2459, 2804, 3192, 1478, 6, 2925, 3762, 4129]","[0.7983218174037807, 0.7537313661998186]"
96,96,"[4522, 4415, 1542, 70, 296, 708, 2161, 2806, 3123, 3264, 4721]","[0.016907453142851914, 0.6551510687629691]"
97,97,"[16, 4690, 1275, 1731, 4002, 1346, 1482, 1555, 1652, 2062, 3504, 4284, 4875, 4904]","[0.4040983214474565, 0.19560318261984477]"
98,98,"[1923, 3077, 1861, 4768, 2835, 3905, 3934, 1442, 4152, 972, 1934, 2641, 2805, 3144, 3445, 4541, 4578]","[0.6913215984746998, 0.09381087735019966]"
99,99,"[1238, 1893, 2109, 3600, 3945, 3829, 1671, 79, 714, 1743, 2318, 2346, 2400, 3216, 3246, 3483, 4265]","[0.27205058008738814, 0.6799388713171478]"
100,100,"[3391, 591, 513, 593, 1263, 4742, 617, 143, 3249, 1393, 38, 305, 997, 1578, 1613, 1956, 2379, 3395, 3722, 3856, 4062, 4479, 4660, 4907]","[0.16570966873990944, 0.7018628985139433]"
101,101,"[2586, 2904, 185, 4100, 4738, 4973, 1795, 3711, 4319, 4370, 4466]","[0.6216451334671552, 0.3646955848768638]"
102,102,"[1672, 1792, 4455, 1441, 1011, 2181, 3540, 3590, 3974]","[0.6008342605854347, 0.467456982560859]"
103,103,"[2448, 4366, 3204, 1406, 1929, 4753, 144, 1940, 2701, 4351]","[0.0375248163292754, 0.11447910059193034]"
104,104,"[1009, 2149, 409, 832, 4608, 4626]","[0.1788843163829078, 0.4959065811107798]"
105,105,"[990, 2074, 4290, 957, 1506, 876, 914, 1373, 1600, 1601, 1947, 2808, 3099, 4026]","[0.5436609635327387, 0.3080544195853563]"
106,106,"[4157, 2310, 2737, 1644, 756, 931, 3350, 4106]","[0.7525686091242082, 0.15625810628153058]"
107,107,"[686, 4576, 1527, 3781, 664, 2339, 2794, 4449, 2861, 356, 989, 1711, 1948, 2082, 2905, 3084, 4200, 4444, 4990]","[0.7370017807789405, 0.37655741752490246]"
108,108,"[1767, 2014, 545, 1481, 480, 4084, 1425, 800, 291, 519, 1305, 1708, 2452, 3230, 3767, 4380, 4846]","[0.33392832997873656, 0.44009067459965256]"
109,109,"[2351, 4859, 3319, 4607, 4274, 4986, 2704, 1783, 1083, 923, 1341, 1784, 1851, 2078, 2218, 2521, 2974, 3326, 3497, 4650]","[0.8190309491820859, 0.9226874861527613]"
110,110,"[4389, 2678, 1432, 1261, 559, 2060, 799, 3161, 3689, 1096, 1454, 2137, 3949, 4172, 4448, 4911]","[0.5187751049423273, 0.9454118228114283]"
111,111,"[4087, 4463, 2935, 4243, 4769, 4669, 241, 2408, 3136, 3946, 4077]","[0.2254316898888422, 0.39598912959353194]"
112,112,"[1347, 1594, 375, 490, 659, 781, 1925, 2997, 3761]","[0.997427396550024, 0.28602683601221424]"
113,113,"[25, 1473, 3406, 4496, 1880, 3348, 3702, 709, 1488, 662, 881, 967, 1427, 2890, 3129, 3999, 4034]","[0.26985162755934833, 0.5095007364909647]"
114,114,"[4328, 1946, 2834, 1385, 676, 4411, 2095, 873, 548, 558, 1189, 2446, 3243, 3951, 3999, 4223, 4249, 4764]","[0.2824046839170531, 0.46527002647745985]"
115,115,"[3986, 3635, 4944, 1031, 4185, 4687, 4988]","[0.32386424285717896, 0.03400954788909871]"
116,116,"[1201, 850, 2136, 704, 2518, 4443, 132, 1845, 673, 626, 1532, 3193, 3759, 4012, 4145]","[0.6848583751308209, 0.5755385194598543]"
117,117,"[455, 189, 1898, 809, 4414, 4555]","[0.778969277001105, 0.11312896747901724]"
118,118,"[1214, 4584, 119, 1812, 4371, 4263, 925, 999, 1428, 2150, 2963, 3108, 4032, 4862, 4933]","[0.6709333732944862, 0.48889643800227767]"
119,119,"[118, 2963, 2150, 4862, 925, 4584, 1146, 1214, 1428, 1812, 3108, 3229, 3354, 3462, 4032, 4263, 4371]","[0.6833401761435857, 0.48974427461170167]"
120,120,"[1515, 1242, 160, 1216, 2795, 2047, 1778, 3693, 2420, 4419, 2922, 984, 996, 1328, 1417, 1674, 1841, 2578, 3469, 3799, 3933, 3953, 4118]","[0.10424225031165457, 0.9699486242704122]"
121,121,"[284, 3873, 2677, 4741, 3952, 888, 1728, 3846, 4999]","[0.11920457136314544, 0.03127131471478528]"
122,122,"[4950, 1282, 785, 469, 1742, 2713, 3468, 282, 1609, 1944, 1970, 2016, 2453, 3178, 4311]","[0.5976373945629082, 0.11487743805846795]"
123,123,"[2328, 3239, 862, 2855, 1522, 1563, 2635]","[0.9221303644377953, 0.5999054195799901]"
124,124,"[3639, 2500, 537, 1628, 783, 1990, 586, 1423, 1536, 1766, 1924, 3976, 4545]","[0.8098769109832266, 0.39021247871159725]"
125,125,"[4461, 4159, 3531, 1799, 3578, 2976, 3884, 227, 2187, 3628, 406, 758, 1301, 1922, 1957, 2532, 2699, 3580, 3663, 3728]","[0.1997061614890835, 0.13993913815208248]"
126,126,"[1343, 4980, 963, 2044, 279, 600, 771, 908, 1395, 1673, 2707, 2757, 3035, 4618]","[0.36928712380022266, 0.06976969155865587]"
127,127,"[297, 1331, 646, 2037, 4727]","[0.8115258255998771, 0.8583944664217247]"
128,128,"[869, 4761, 4845, 411, 321, 2086, 2407, 3342, 4470, 4727]","[0.8376846585490806, 0.8459747153127848]"
129,129,"[3699, 2659, 3328, 3964, 3157, 220, 1302, 1740, 4156, 4652, 4675, 4801]","[0.37011374094461125, 0.6747961607655425]"
130,130,"[3028, 4893, 4942, 3467, 982, 733, 3128, 583, 1883, 2668, 3263, 665, 818, 2350, 2504, 4031, 4348]","[0.9397625960367332, 0.973795356961254]"
131,131,"[1949, 959, 546, 166, 2213, 2657, 2991, 211, 378, 575, 636, 1747, 2143, 3703, 4362, 4677]","[0.35783657787018763, 0.5821496987823409]"
132,132,"[116, 1845, 2518, 1201, 4443, 673, 626, 704, 2136, 3759, 3797]","[0.6873072300191122, 0.5867971356347215]"
133,133,"[1082, 2823, 4699, 3145, 3359, 4135, 4129, 2000, 1809, 269, 3304, 6, 913, 1175, 1396, 2497, 2804, 2817, 2925, 3284]","[0.7851665332002882, 0.7904486548431268]"
134,134,"[2355, 318, 2234, 3085, 1026, 1325, 630, 1059, 1103, 2665, 3648, 4408, 4821]","[0.1760610344956106, 0.42038824136628195]"
135,135,"[1162, 2856, 4240, 4008, 405, 1008, 1730, 1797, 2506, 4671, 4967]","[0.3310643433951531, 0.24290209256759998]"
136,136,"[2973, 2723, 495, 3361, 4079, 906, 1150, 1519, 4717]","[0.0569631306194166, 0.5156741133057213]"
137,137,"[78, 4305, 3930, 1670, 2126, 2734, 2946, 3624, 1136, 977, 1202, 1913, 2644, 3991]","[0.41541940072608774, 0.1253366718279164]"
138,138,"[1547, 1761, 4412, 886, 2777, 1329, 50, 475, 1200, 2470, 2611, 2960, 3327]","[0.6403568101896693, 0.7508421506516182]"
139,139,"[2602, 1513, 3341, 3660, 765, 932, 615, 2179, 2216, 3048, 4140, 4488, 4869, 4997]","[0.32135098532427153, 0.820454872193336]"
140,140,"[627, 3414, 2581, 864, 3597, 1907, 4468, 2515, 27, 1635]","[0.5893119766365102, 0.6777919836508994]"
141,141,"[4205, 4843, 223, 1825, 4066, 2495, 3292, 4334, 3023, 3560, 377, 1058, 1335, 1361, 1466, 1764, 1775, 2543, 3528, 4337, 4570]","[0.2715076406629142, 0.9129339659603473]"
142,142,[],"[0.08088205997633591, 0.7691584812027329]"
143,143,"[100, 617, 3722, 591, 4907, 3395, 513, 3249, 4479, 1956, 38, 1393, 1578, 1613, 2019, 3391, 3929, 4742]","[0.1828035121729651, 0.7014855010936788]"
144,144,"[4232, 4366, 1406, 4035, 103, 1111, 1929, 2036, 3235, 4753]","[0.06645488675013211, 0.1129643838689669]"
145,145,"[1475, 810, 3197, 442, 2118, 3737, 527, 1089, 1219, 1477, 3977, 4090, 4320, 4822, 4834]","[0.7619186311613038, 0.9782235176571272]"
146,146,"[4489, 2583, 4511, 3315, 670, 3735, 1638, 985, 569, 706, 731, 831, 935, 1996, 2168, 2363, 3184, 3412, 4335]","[0.03437507679657592, 0.8823329735508257]"
147,147,"[2242, 3009, 549, 4164, 258, 3418, 1220, 1514, 338, 986, 991, 1337, 2243, 2599, 2763, 3000, 3575, 4345, 4885]","[0.461357258830871, 0.6565898492062212]"
148,148,"[2156, 1642, 448, 4490, 643, 3308, 608, 3663, 3547, 200, 332, 477, 743, 1848, 2280, 2858, 3148, 4159]","[0.169110515367767, 0.18372155391052347]"
149,149,"[4993, 2821, 2322, 3904, 4327, 3691, 1698, 2405, 2416, 2745]","[0.964903554867391, 0.14563371867567532]"
150,150,"[52, 1377, 2306, 74, 693, 2860, 3302]","[0.05631353843901232, 0.8294177781168923]"
151,151,"[81, 3396, 4566, 3493, 3984, 3609, 4972, 2039, 3820, 4701, 3672, 430, 813, 1066, 1116, 1979, 2972, 4153, 4217, 4360, 4579, 4587]","[0.17810749066457643, 0.033536801907142366]"
152,152,"[1148, 2600, 1544, 4397, 4417, 1221, 479, 2477, 3553, 3561, 3632, 3752, 3981, 4804]","[0.679503190368476, 0.22534599635318486]"
153,153,"[4833, 230, 4190, 1007, 2440, 3989, 3296, 407, 2178, 3973, 298, 322, 1048, 1244, 1277, 1631, 2907, 3444, 3748, 4078, 4245, 4670, 4691, 4771]","[0.7084505927260575, 0.8519047647930728]"
154,154,"[1363, 1545, 4889, 1831, 675, 1919, 4281, 1239, 3653, 157, 1616, 3095, 3212, 3727, 4027, 4588]","[0.484758160878513, 0.12542498926902146]"
155,155,"[4611, 4835, 2336, 4881, 2621, 4639, 899, 2015, 1165, 1317, 1412, 2152, 2155, 3103, 3107, 4851]","[0.16819054055686322, 0.8985389093252999]"
156,156,"[1867, 3893, 4631, 2688, 3708, 1986, 3747, 3815]","[0.8160297645575849, 0.6338826037306597]"
157,157,"[4027, 4423, 1831, 2816, 3424, 1545, 154, 300, 675, 1919, 2120, 3095]","[0.510275293829375, 0.14058069431121134]"
158,158,"[2528, 2882, 1347, 1925, 937, 375, 490, 659, 1607, 1933, 2235, 2766, 3392, 4390]","[0.9877350368810426, 0.25585105321422597]"
159,159,"[88, 1969, 3883, 1881, 312, 954, 1410, 1613, 3185, 3291, 3331, 4049]","[0.20681702080608422, 0.6666383663980017]"
160,160,"[120, 2922, 4419, 1417, 2578, 4118, 3469, 1216, 1674, 984, 996, 1242, 3693, 397, 418, 1328, 1515, 1778, 1865, 2047, 2420, 2519, 3933]","[0.12035919915390603, 0.9669580680852383]"
161,161,"[3559, 4030, 1816, 2815, 1687, 2538, 2722, 2893, 3005, 3237]","[0.12671872195468836, 0.5397007241258671]"
162,162,"[1147, 4692, 2526, 3862, 3516, 721, 4551, 4333, 385, 410, 1011, 1932, 3055, 3121, 3201, 3557, 3865, 4358]","[0.6148099461565945, 0.43148862272527466]"
163,163,"[640, 2995, 3839, 4966, 4778, 606, 983, 1284, 1306, 1518, 1625, 2033, 2514, 2939, 3668, 4874]","[0.21177964675311156, 0.8487701974234542]"
164,164,"[4206, 880, 2784, 1365, 271, 509, 2057, 2125, 2772, 3120, 3259, 3452, 3738, 4643, 4732]","[0.45254141173616225, 0.9096993810973655]"
165,165,"[4344, 3584, 1632, 718, 217, 2743, 2428, 2426, 695, 2101, 3357, 197, 802, 1029, 1110, 1164, 1167, 1947, 1989, 2348, 2425, 2808, 3224, 3878, 3916, 4436, 4458]","[0.5540298337513874, 0.36933709031417583]"
166,166,"[131, 2657, 1471, 4677, 1949, 546, 3703, 1747, 211, 671, 959, 1559, 2020, 2043, 2213, 2637, 2991, 3475, 3776]","[0.3499872587404135, 0.5986905798085188]"
167,167,"[6, 95, 3762, 2459, 2925, 3388, 2804, 913, 1478, 1822, 2000, 3717, 4129, 4135, 4708]","[0.8117514205230235, 0.7607101378852942]"
168,168,"[2369, 1706, 940, 4318, 4282, 1726, 2545, 3220, 3229, 3838, 3900, 4297, 4433, 4819]","[0.7328723021248916, 0.49550309049793717]"
169,169,"[2865, 500, 3086, 910, 1394, 4754, 246, 1553, 2342, 4679]","[0.5134332375744712, 0.6355204335176377]"
170,170,"[1518, 1821, 2702, 4409, 606, 610, 773, 3839, 4086, 4210, 4546]","[0.20013741816152508, 0.8857158978344364]"
171,171,"[4070, 3987, 723, 859, 1548, 1917, 2404, 3281, 3879, 3975, 4890]","[0.95975887154029, 0.5575107546121814]"
172,172,"[2115, 4574, 734, 2966, 1359, 605, 4562, 769, 1494, 4998, 588, 975, 1101, 1679, 3218, 3626, 3928]","[0.8114704038553199, 0.4597535563501117]"
173,173,"[85, 4198, 1656, 241, 302, 630, 2665, 3085, 3136, 4087, 4347, 4781]","[0.21517301650148202, 0.44368196612683186]"
174,174,"[1198, 952, 3477, 878, 1924, 2551, 1187, 1423, 1536, 1603, 1628, 2500, 2883, 3639]","[0.7685133763531081, 0.3723441384596403]"
175,175,"[2633, 4086, 3126, 2706, 953, 2007, 4394, 610, 762, 1298, 1719, 2224, 2702, 2791, 3472, 4210, 4546, 4886]","[0.214361534821781, 0.9283393909678429]"
176,176,"[3878, 653, 826, 1049, 695, 2089, 2425, 2426, 3584, 4458]","[0.5165251688982053, 0.3610842662405864]"
177,177,"[4202, 1868, 4329, 2009, 1165, 1317, 1420, 3107, 4445, 4984]","[0.11697105313679867, 0.8995777679742922]"
178,178,"[1887, 1437, 4661, 4169, 561, 596, 1258, 2174, 4513]","[0.6070607886513112, 0.7909278788752678]"
179,179,"[3558, 1645, 2724, 3795, 2755, 2919, 2831, 572, 581, 2357, 4499, 4883]","[0.8466122139148728, 0.051662137957469434]"
